Time, Theta AF3,Alpha AF3,Low beta AF3,High beta AF3, Gamma AF3, Theta AF4,Alpha AF4,Low beta AF4,High beta AF4, Gamma AF4, Theta T7,Alpha T7,Low beta T7,High beta T7, Gamma T7, Theta T8,Alpha T8,Low beta T8,High beta T8, Gamma T8, Theta Pz,Alpha Pz,Low beta Pz,High beta Pz, Gamma Pz
1455162949.799699,2.964358,20.295352,1.047595,2.075186,3.201152,2.635293,132.900799,5.107920,4.468812,4.477718,687.081944,1.402667,60.108986,2.736766,4.085293,1.320281,34.503229,2.621803,2.008579,2.965381,23.143435,4.390704,3.183450,1.431707,1.458371
1455162950.299676,3.498041,15.185406,0.676168,2.025953,2.522153,2.220742,126.592828,3.609830,3.657297,2.596914,722.068068,1.724874,54.379742,1.937942,4.441154,1.007792,27.221969,2.844996,1.916334,2.332602,28.811288,3.122231,2.519120,0.899084,0.731425
1455162950.799730,3.739389,14.132024,1.150147,1.540393,2.521737,4.713600,100.577283,1.790618,2.807146,3.512524,744.579491,1.613551,60.673768,1.469112,5.557793,0.960317,17.443148,1.950508,1.589879,4.033629,35.121998,2.808983,3.271562,0.645216,1.306898
1455162951.298996,11.310946,15.745996,1.533812,1.927375,3.697007,8.221742,90.479116,2.622868,3.399761,5.408179,826.610261,59.195163,70.799287,3.292548,6.543766,2.672864,15.129847,1.417699,2.390149,4.177172,107.314409,23.025234,9.862430,3.772657,2.286636
1455162951.798991,38.833482,26.258078,3.701145,5.432927,5.616328,37.852747,52.524793,10.600165,8.708180,3.672803,1260.758813,191.302857,55.153611,9.688189,6.855144,15.020957,19.377591,3.751530,4.170196,2.872213,901.565406,144.524805,48.274857,10.530284,4.051293
1455162952.299702,19.244570,13.000598,3.445961,4.663918,5.731535,20.144820,13.982310,4.044290,5.257980,4.441202,1291.160147,42.334529,48.525232,9.443245,7.443412,8.939419,20.522735,2.510774,3.606551,3.565940,905.623570,139.960203,40.098825,7.495484,6.016208
1455162952.799009,18.234251,6.847895,3.425240,2.297369,5.732782,12.854551,8.132370,1.741788,2.397112,4.822298,1190.020326,9.627043,47.934499,14.111424,9.631474,5.864461,17.751457,3.061751,3.147422,4.091055,137.549884,43.496260,7.563204,7.489199,10.947096
1455162953.299763,371.174999,75.124723,13.181440,8.217837,6.316357,132.261599,25.242447,13.485784,6.598770,6.347600,1100.265256,31.556098,72.583727,15.543707,13.004040,58.510123,20.833668,13.491226,5.997394,7.296383,332.294944,66.742855,14.075763,14.608632,9.008878
1455162953.798991,458.282300,85.759435,14.742917,10.294341,7.014307,132.609616,29.846099,16.421704,8.275785,7.614692,772.988653,40.988853,120.597603,9.500795,10.355469,78.430400,25.100878,18.686093,5.608709,8.952203,680.589158,95.569571,46.738914,28.286271,21.689684
1455162954.299706,120.115088,26.966580,10.426612,7.157870,7.055777,25.601115,20.118231,8.654615,7.034534,5.064005,710.771712,8.774282,109.230155,12.069822,10.003372,29.252615,18.626201,6.201661,6.266670,6.351793,791.814586,208.288359,80.494837,42.647697,27.800857
1455162954.798996,120.115088,26.966580,10.426612,7.157870,7.055777,25.601115,20.118231,8.654615,7.034534,5.064005,710.771712,8.774282,109.230155,12.069822,10.003372,29.252615,18.626201,6.201661,6.266670,6.351793,791.814586,208.288359,80.494837,42.647697,27.800857
1455162955.299040,120.115088,26.966580,10.426612,7.157870,7.055777,25.601115,20.118231,8.654615,7.034534,5.064005,710.771712,8.774282,109.230155,12.069822,10.003372,29.252615,18.626201,6.201661,6.266670,6.351793,791.814586,208.288359,80.494837,42.647697,27.800857
1455162955.799606,120.115088,26.966580,10.426612,7.157870,7.055777,25.601115,20.118231,8.654615,7.034534,5.064005,710.771712,8.774282,109.230155,12.069822,10.003372,29.252615,18.626201,6.201661,6.266670,6.351793,791.814586,208.288359,80.494837,42.647697,27.800857
1455162956.298998,120.115088,26.966580,10.426612,7.157870,7.055777,25.601115,20.118231,8.654615,7.034534,5.064005,710.771712,8.774282,109.230155,12.069822,10.003372,29.252615,18.626201,6.201661,6.266670,6.351793,791.814586,208.288359,80.494837,42.647697,27.800857
1455162956.798925,120.115088,26.966580,10.426612,7.157870,7.055777,25.601115,20.118231,8.654615,7.034534,5.064005,710.771712,8.774282,109.230155,12.069822,10.003372,29.252615,18.626201,6.201661,6.266670,6.351793,791.814586,208.288359,80.494837,42.647697,27.800857
1455162957.299717,120.115088,26.966580,10.426612,7.157870,7.055777,25.601115,20.118231,8.654615,7.034534,5.064005,710.771712,8.774282,109.230155,12.069822,10.003372,29.252615,18.626201,6.201661,6.266670,6.351793,791.814586,208.288359,80.494837,42.647697,27.800857
1455162957.798965,120.115088,26.966580,10.426612,7.157870,7.055777,25.601115,20.118231,8.654615,7.034534,5.064005,710.771712,8.774282,109.230155,12.069822,10.003372,29.252615,18.626201,6.201661,6.266670,6.351793,791.814586,208.288359,80.494837,42.647697,27.800857
1455162958.298819,120.115088,26.966580,10.426612,7.157870,7.055777,25.601115,20.118231,8.654615,7.034534,5.064005,710.771712,8.774282,109.230155,12.069822,10.003372,29.252615,18.626201,6.201661,6.266670,6.351793,791.814586,208.288359,80.494837,42.647697,27.800857
1455162972.799410,304.095360,358.038506,137.304199,235.907495,171.075603,992.669002,297.905805,335.736789,255.448307,184.851951,97.373925,43.396649,24.096711,41.688459,45.383940,89.327208,55.379333,47.016263,47.588566,41.741230,130.487982,50.708380,32.068887,52.495540,48.893903
1455162973.298990,826.687505,792.039905,251.824820,220.558549,174.688495,897.751226,1244.030899,763.423888,247.644884,160.584580,45.848453,125.540210,45.936574,44.611089,57.931461,54.340593,208.639049,124.052770,43.260535,53.280681,149.266459,173.851491,88.889144,42.896045,32.606110
1455162973.799018,1034.218245,1110.099947,447.786518,119.493977,129.781924,883.411773,1779.787502,818.416201,182.751790,118.203810,54.778712,146.429510,54.034926,30.412430,51.504392,46.002130,313.843023,163.329818,30.961140,39.070851,202.386972,278.795837,130.998241,34.488885,18.668940
1455162974.299010,677.431576,606.585795,465.480256,125.101485,96.614830,895.118555,586.444022,351.511954,150.933494,126.936932,156.263473,96.608229,57.448824,37.598263,54.343406,170.694302,127.822645,102.439457,30.061063,42.688708,182.266636,112.734991,80.016829,30.037362,18.579288
1455162974.798986,631.326334,577.366835,326.560417,191.770932,138.610093,1095.084081,838.255605,127.871139,213.624272,135.006334,114.814752,96.385798,45.957692,35.611473,45.032154,192.023632,187.679869,35.642038,38.268151,36.605719,205.866482,126.858881,49.822733,37.362746,22.336386
1455162975.298976,733.113522,642.497604,328.581100,229.454465,188.276790,773.096311,1247.617870,335.492399,243.290714,159.304275,82.663262,131.203423,52.470608,37.520167,42.867543,139.007715,294.738427,81.283214,47.760370,38.467414,123.745440,166.837911,89.057207,54.340673,28.396707
1455162975.799706,1779.853907,250.002538,323.588494,163.346409,179.268170,1980.964065,482.939157,390.543027,201.978206,181.954946,114.077876,63.448370,76.554672,27.016551,39.398204,226.278816,101.781001,95.696780,38.050596,43.307490,164.622587,63.474602,68.065854,48.170875,35.986294
1455162976.298995,1534.086659,247.344112,442.666219,242.317144,138.894369,1649.511598,474.329808,704.663726,232.004935,171.674754,110.107322,77.648968,119.112022,57.000731,33.967982,178.040647,106.234100,182.680526,57.376282,36.302637,144.378817,66.623008,97.728555,55.717105,32.980847
1455162976.798994,713.939872,301.111189,268.869118,414.737018,119.643005,557.140448,430.788884,560.847518,230.960155,154.814569,126.907404,100.845586,64.553525,104.107524,26.271033,120.973405,122.133154,132.084670,75.119024,30.950856,75.070321,86.294472,72.904811,65.396732,35.329535
1455162977.299002,600.140028,417.157291,190.751512,228.432771,117.244368,593.157237,526.015926,388.714026,206.797509,129.774329,114.256603,111.163632,41.042426,48.831782,28.791994,141.607820,121.354188,76.920015,47.658736,32.244078,90.856356,93.199045,44.267697,49.863690,28.856393
1455162977.799005,1709.436097,781.434916,67.512755,110.749525,121.696469,1709.454091,915.664277,246.035958,178.296110,149.955644,254.333845,168.066675,21.489117,33.535314,32.100742,328.657530,196.026363,37.150531,37.889796,30.703438,281.714112,150.850245,25.360949,30.944542,24.868838
1455162978.299022,1384.194292,727.504898,129.773137,209.377498,105.009886,1313.106713,835.808637,230.501823,281.747297,104.332132,155.047472,98.013639,29.420663,48.703890,23.793151,215.674231,132.959708,38.958975,59.720308,21.052329,235.988248,153.968613,46.695084,55.409713,24.010979
1455162978.799030,339.367355,216.681537,373.101400,270.730232,131.073567,500.579141,464.091877,355.470110,319.811802,75.416747,37.769155,37.504596,68.333157,62.945052,35.599851,76.281367,79.574897,85.827502,73.857139,25.078937,92.690686,61.499285,89.933606,70.863053,25.724190
1455162979.299698,276.614381,228.338771,368.891075,211.114317,125.840373,475.792775,279.088349,358.346948,314.120274,89.670998,56.394102,42.316949,65.226426,69.638659,48.247692,85.644517,44.390183,81.141278,76.738251,30.386965,80.591458,53.340575,83.747614,57.450863,20.409215
1455162979.799492,459.605990,376.577895,249.468995,238.403119,78.990325,375.013376,322.306477,242.228961,243.267372,152.092739,81.531584,51.739874,51.796146,57.633468,54.253384,78.972641,50.268871,55.062448,63.885794,35.135983,80.375433,81.064879,58.059344,52.462185,21.341707
1455162980.299003,359.418541,533.609718,183.869674,196.118748,113.411944,256.959187,451.479758,109.527711,174.715527,106.679589,52.890978,42.455037,21.565656,40.942398,46.747407,49.846566,63.100935,20.582882,39.678086,28.641917,65.248176,125.879735,34.578375,51.097154,30.665874
1455162980.799004,359.418541,533.609718,183.869674,196.118748,113.411944,256.959187,451.479758,109.527711,174.715527,106.679589,52.890978,42.455037,21.565656,40.942398,46.747407,49.846566,63.100935,20.582882,39.678086,28.641917,65.248176,125.879735,34.578375,51.097154,30.665874
1455162981.298821,530.517345,833.609955,363.724352,174.705007,157.648963,398.990764,898.841850,186.401097,147.531663,82.361677,58.353774,81.590538,72.727838,53.628651,42.602903,75.299236,135.316208,56.969262,41.386042,35.540610,136.793868,208.505730,72.079444,41.868175,30.751094
1455162981.799022,327.677429,572.057490,351.047244,199.762374,162.711183,450.091327,807.913703,237.321452,168.362373,111.918175,99.652370,78.686278,105.912012,60.841783,38.632383,69.959234,130.765201,80.328224,50.600050,37.995586,164.402208,145.337271,84.377014,50.775053,33.201882
1455162982.298992,686.109493,556.757324,101.035094,212.550094,126.991716,799.077206,547.796833,97.087359,209.186947,113.758437,275.595268,61.533107,86.471735,66.663317,36.990582,128.792191,77.212023,34.219388,50.225138,26.550824,219.524880,106.287604,33.693979,43.192654,27.558609
1455162982.799005,1264.446164,329.098846,168.994839,242.588336,80.091754,1375.366744,288.092135,168.947391,230.123350,79.686157,293.791572,52.421603,41.877042,49.194233,25.085735,333.233774,59.298405,37.725044,45.188710,18.014994,216.051405,47.907473,36.961951,47.681575,15.490967
1455162983.299000,1165.889158,274.107767,360.806870,191.919653,69.993908,1366.252379,300.580325,413.628146,194.592275,101.644268,187.058717,90.502709,83.165616,55.551864,26.852960,269.234949,68.429526,110.663907,38.639117,30.814192,203.257391,52.927997,89.389903,45.905985,18.879961
1455162983.798983,3084.351087,753.626939,700.499797,191.589913,94.623677,3100.619127,733.788741,654.723396,248.593283,107.450813,230.035556,316.345091,205.394919,108.969078,29.426246,458.931705,153.746935,124.528252,46.750929,31.776323,560.427169,182.631299,182.915673,52.997680,21.886846
1455162984.299018,2104.421007,352.500620,506.793626,122.048135,101.182147,1914.470470,492.832395,367.843339,152.454967,90.959967,199.904952,163.391217,122.858984,61.363945,20.372910,299.289961,101.303847,71.215346,37.508111,26.281383,390.315682,106.106631,115.027218,34.007822,25.370102
1455162984.799031,1117.773105,546.118920,296.183018,154.719771,94.161831,1119.192738,514.280451,295.076845,117.844064,90.255688,111.374266,80.778136,109.581523,23.557790,15.878654,181.668660,101.722906,69.601167,27.713439,21.079856,221.622521,126.691711,64.249187,36.638120,29.280610
1455162985.299053,1094.996183,909.118581,157.068525,224.131895,93.975114,1127.644753,823.565868,208.982380,145.735374,77.102055,116.054304,107.208456,42.312106,30.895774,19.540299,182.530219,152.436416,49.326356,30.396280,18.507605,220.798397,179.063152,39.590316,56.412326,23.997405
1455162985.799008,534.736703,490.887199,88.962409,205.435924,109.132577,609.015836,300.053328,133.397297,95.514751,71.432251,100.360077,65.662140,14.563473,34.963557,25.937370,119.895956,63.778837,31.356490,27.265305,19.098747,129.763349,71.476381,29.107524,40.028357,17.984700
1455162986.299004,386.264466,458.746265,96.810884,135.787122,78.222536,307.559464,300.496572,69.601723,78.323691,37.187245,86.521222,79.749345,19.726030,23.341413,19.909890,74.055752,71.234823,20.590427,28.552560,13.398319,61.489524,94.635848,18.870303,24.661937,13.096798
1455162986.798997,536.801750,361.480536,209.098215,89.809525,53.359042,388.615935,244.510251,175.510858,75.210916,36.307765,78.271996,56.347599,55.196725,13.592627,16.398702,83.024474,55.755486,51.852885,17.548214,14.715655,95.418878,82.124577,45.758738,27.394842,12.141558
1455162987.299007,550.892194,324.006090,280.457834,173.073536,69.049202,511.617177,197.510394,340.453152,170.443826,59.821731,67.869370,32.409848,67.787053,25.344004,20.167639,85.652323,42.022995,84.624058,40.926760,23.421695,115.672657,71.247916,92.173691,59.243195,17.674556
1455162987.798991,550.892194,324.006090,280.457834,173.073536,69.049202,511.617177,197.510394,340.453152,170.443826,59.821731,67.869370,32.409848,67.787053,25.344004,20.167639,85.652323,42.022995,84.624058,40.926760,23.421695,115.672657,71.247916,92.173691,59.243195,17.674556
1455162988.298990,550.892194,324.006090,280.457834,173.073536,69.049202,511.617177,197.510394,340.453152,170.443826,59.821731,67.869370,32.409848,67.787053,25.344004,20.167639,85.652323,42.022995,84.624058,40.926760,23.421695,115.672657,71.247916,92.173691,59.243195,17.674556
1455162988.798983,550.892194,324.006090,280.457834,173.073536,69.049202,511.617177,197.510394,340.453152,170.443826,59.821731,67.869370,32.409848,67.787053,25.344004,20.167639,85.652323,42.022995,84.624058,40.926760,23.421695,115.672657,71.247916,92.173691,59.243195,17.674556
1455162989.298987,550.892194,324.006090,280.457834,173.073536,69.049202,511.617177,197.510394,340.453152,170.443826,59.821731,67.869370,32.409848,67.787053,25.344004,20.167639,85.652323,42.022995,84.624058,40.926760,23.421695,115.672657,71.247916,92.173691,59.243195,17.674556
1455162989.799015,550.892194,324.006090,280.457834,173.073536,69.049202,511.617177,197.510394,340.453152,170.443826,59.821731,67.869370,32.409848,67.787053,25.344004,20.167639,85.652323,42.022995,84.624058,40.926760,23.421695,115.672657,71.247916,92.173691,59.243195,17.674556
1455162990.298951,550.892194,324.006090,280.457834,173.073536,69.049202,511.617177,197.510394,340.453152,170.443826,59.821731,67.869370,32.409848,67.787053,25.344004,20.167639,85.652323,42.022995,84.624058,40.926760,23.421695,115.672657,71.247916,92.173691,59.243195,17.674556
1455162990.799010,550.892194,324.006090,280.457834,173.073536,69.049202,511.617177,197.510394,340.453152,170.443826,59.821731,67.869370,32.409848,67.787053,25.344004,20.167639,85.652323,42.022995,84.624058,40.926760,23.421695,115.672657,71.247916,92.173691,59.243195,17.674556
